2023-03-20 08:28:51 | user1 | confidential_report_1.docx | edited
2023-03-30 09:55:58 | user2 | public_announcement.pdf | deleted
2023-03-19 03:26:17 | user2 | confidential_financials.xlsx | deleted
2023-03-17 17:15:21 | user2 | public_announcement.pdf | deleted
2023-03-20 03:05:03 | user1 | confidential_report_1.docx | deleted
2023-03-30 04:03:43 | user4 | public_announcement.pdf | deleted
2023-03-24 21:50:06 | user4 | team_meeting_notes.txt | deleted
2023-03-24 17:38:23 | user2 | public_announcement.pdf | edited
2023-03-19 02:12:25 | user3 | employee_data.xlsx | deleted
2023-03-20 18:22:27 | user3 | employee_data.xlsx | viewed
2023-03-05 12:49:58 | user1 | confidential_financials.xlsx | viewed
2023-03-09 08:52:04 | user3 | confidential_report_1.docx | viewed
2023-03-01 21:12:41 | user3 | confidential_financials.xlsx | viewed
2023-03-10 05:05:23 | user4 | confidential_report_1.docx | viewed
2023-03-08 22:11:36 | user2 | confidential_financials.xlsx | edited
2023-03-10 09:46:39 | user4 | confidential_financials.xlsx | viewed
2023-03-11 04:40:48 | user2 | confidential_report_1.docx | viewed
2023-03-25 19:19:11 | user1 | confidential_financials.xlsx | deleted
2023-03-28 23:53:47 | user2 | confidential_report_1.docx | viewed
2023-03-25 20:19:06 | user1 | public_announcement.pdf | viewed
2023-03-04 18:58:58 | user3 | confidential_financials.xlsx | viewed
2023-03-26 11:17:13 | user1 | team_meeting_notes.txt | deleted
2023-03-31 22:34:51 | user1 | confidential_report_1.docx | edited
2023-03-24 06:10:19 | user3 | public_announcement.pdf | viewed
2023-03-21 23:31:48 | user4 | team_meeting_notes.txt | deleted
2023-03-31 20:51:59 | user3 | confidential_financials.xlsx | edited
2023-03-03 05:19:02 | user4 | public_announcement.pdf | viewed
2023-03-16 06:19:28 | user3 | confidential_report_1.docx | deleted
2023-03-31 20:40:29 | user1 | confidential_financials.xlsx | edited
2023-03-02 06:57:20 | user1 | public_announcement.pdf | deleted
2023-03-11 21:52:21 | user3 | confidential_financials.xlsx | viewed
2023-03-22 07:00:50 | user2 | employee_data.xlsx | edited
2023-03-26 05:49:08 | user2 | confidential_report_1.docx | viewed
2023-03-05 01:17:11 | user1 | confidential_financials.xlsx | deleted
2023-03-23 06:43:14 | user2 | public_announcement.pdf | edited
2023-03-03 14:45:34 | user2 | team_meeting_notes.txt | viewed
2023-03-29 02:18:53 | user2 | employee_data.xlsx | viewed
2023-03-04 23:19:46 | user1 | confidential_financials.xlsx | viewed
2023-03-18 18:01:47 | user3 | employee_data.xlsx | deleted
2023-03-04 13:29:01 | user4 | team_meeting_notes.txt | deleted
2023-03-28 09:45:27 | user4 | confidential_report_1.docx | edited
2023-03-16 19:18:04 | user2 | employee_data.xlsx | deleted
2023-03-24 21:42:06 | user3 | confidential_financials.xlsx | deleted
2023-03-07 09:31:32 | user2 | public_announcement.pdf | viewed
2023-03-06 17:59:51 | user4 | confidential_report_1.docx | viewed
2023-03-05 05:27:19 | user2 | team_meeting_notes.txt | edited
2023-03-09 21:38:34 | user1 | confidential_report_1.docx | edited
2023-03-28 14:21:45 | user3 | employee_data.xlsx | deleted
2023-03-22 03:21:30 | user2 | confidential_financials.xlsx | edited
2023-03-11 18:24:22 | user2 | confidential_financials.xlsx | deleted
2023-03-13 15:58:48 | user1 | confidential_financials.xlsx | edited
2023-03-20 00:56:36 | user1 | public_announcement.pdf | edited
2023-03-23 01:05:56 | user2 | confidential_report_1.docx | deleted
2023-03-08 11:51:54 | user2 | confidential_financials.xlsx | edited
2023-03-30 20:57:51 | user1 | team_meeting_notes.txt | deleted
2023-03-17 03:30:02 | user1 | confidential_financials.xlsx | deleted
2023-03-15 06:28:14 | user3 | employee_data.xlsx | edited
2023-03-27 00:58:13 | user2 | employee_data.xlsx | viewed
2023-03-12 02:31:36 | user1 | confidential_financials.xlsx | edited
2023-03-13 15:45:00 | user1 | team_meeting_notes.txt | deleted
2023-03-09 18:55:57 | user1 | confidential_report_1.docx | viewed
2023-03-28 00:19:01 | user2 | confidential_report_1.docx | viewed
2023-03-19 21:25:05 | user2 | public_announcement.pdf | edited
2023-03-13 11:32:16 | user3 | employee_data.xlsx | edited
2023-03-13 06:07:45 | user2 | confidential_financials.xlsx | viewed
2023-03-04 16:16:35 | user1 | confidential_report_1.docx | edited
2023-03-07 12:25:30 | user4 | employee_data.xlsx | edited
2023-03-31 15:58:49 | user4 | employee_data.xlsx | viewed
2023-03-16 10:29:37 | user4 | public_announcement.pdf | deleted
2023-03-17 10:46:23 | user2 | public_announcement.pdf | deleted
